YEARS,AGE,FIRST,SE_CLOSE,SE_NOHAPPY,SE_UNHEAL,SE_SEAEND,SE_KEKKON,SE_END,SE_HOMEBUSY,SE_OTHERS
82,TOTAL,41397,18010,49944,3224,6784,545,317,235,7868
82,15~19,9084,836,6395,162,242,0,0,8,347
82,20~24,23154,2226,15228,598,1064,180,0,0,2816
82,25~29,7361,3408,13912,574,1066,211,0,22,1696
83,TOTAL,42668,19199,57303,3065,8637,808,677,369,9231
83,15~19,9535,834,7155,274,445,27,0,48,601
83,20~24,22785,2218,15950,588,691,169,12,53,3223
83,25~29,8282,2868,16077,630,1318,237,103,32,2184
84,TOTAL,46689,28802,65750,2847,10264,820,715,489,8664
84,15~19,10815,1094,8150,144,588,0,0,41,267
84,20~24,24163,2903,17548,465,1099,190,0,113,2492
84,25~29,8847,5424,18209,475,1446,252,133,47,2104
85,TOTAL,56220,68488,78900,5019,18604,750,1516,652,12346
85,15~19,13808,2435,9114,450,870,0,0,40,563
85,20~24,28742,7834,19966,835,1848,74,0,24,3055
85,25~29,10465,12603,22833,838,2435,227,74,116,2903
86,TOTAL,57360,70869,84136,6578,21951,1095,1184,585,12483
86,15~19,13279,2114,8767,288,680,6,0,0,474
86,20~24,29676,6793,21334,794,1054,113,0,29,3260
86,25~29,11181,12385,22350,1174,2415,485,0,36,2546
87,TOTAL,58784,71487,82109,6337,24840,716,1094,756,10794
87,15~19,12419,2383,9206,238,983,57,0,0,508
87,20~24,32515,6655,20548,1036,1917,51,11,211,3420
87,25~29,10923,11535,23140,1007,2811,215,0,146,1861
88,TOTAL,60335,90745,85925,5829,25602,638,1297,838,11535
88,15~19,13612,2686,9499,242,828,0,0,11,484
88,20~24,31937,8738,21178,734,1757,83,0,92,2700
88,25~29,11517,12880,23776,767,2550,346,18,153,2269
89,TOTAL,58106,90258,94510,6385,28994,1061,1182,892,11421
89,15~19,12958,2865,8081,256,586,0,0,0,535
89,20~24,31531,8280,24367,642,2108,42,57,124,1951
89,25~29,10134,12558,24736,1157,2697,355,0,41,1966
90,TOTAL,75056,206353,87581,7725,52268,2039,1405,1881,15497
90,15~19,17039,5805,8054,233,1442,0,0,0,998
90,20~24,39588,22164,25073,966,4501,481,0,132,3642
90,25~29,13459,30722,21633,1013,6489,561,41,287,2926
91,TOTAL,80641,247826,109508,9305,47341,2127,1659,1545,15194
91,15~19,15743,5985,8486,320,1634,101,0,79,114
91,20~24,46099,27630,28675,1447,4176,296,0,69,3763
91,25~29,14250,38110,30500,1900,5398,760,0,341,2600
92,TOTAL,84545,228422,110631,10293,49840,2790,2570,2158,11669
92,15~19,13768,4452,7046,166,968,0,0,38,96
92,20~24,44235,20301,29785,1525,4380,465,99,105,3421
92,25~29,17299,34522,30848,1052,6959,641,0,229,1257
93,TOTAL,85404,158331,130866,11467,49381,3250,2366,2003,11153
93,15~19,11349,1879,8354,240,857,0,0,0,105
93,20~24,47125,11671,30708,924,3860,90,0,88,3039
93,25~29,18397,20276,37980,1363,5510,1534,118,217,2065
94,TOTAL,82152,130482,139789,10760,48940,3328,2574,2689,7459
94,15~19,10514,1250,6622,197,711,0,0,0,301
94,20~24,44415,8742,32045,1529,3146,61,0,208,1969
94,25~29,19890,18869,42726,1673,5341,713,86,215,2097
95,TOTAL,81934,117398,141456,8972,43585,3455,3227,2092,8864
95,15~19,9006,1074,6556,29,584,0,0,0,397
95,20~24,42881,8019,27113,1101,4222,271,0,205,2155
95,25~29,23185,17127,45524,1364,5976,936,0,383,2352
96,TOTAL,86822,126164,138247,9912,41268,3700,2934,2586,7148
96,15~19,9896,1232,4870,239,746,0,0,0,293
96,20~24,43542,8169,27331,1002,3867,262,22,253,2013
96,25~29,26610,18677,40984,1917,5548,744,265,158,1297
97,TOTAL,92837,152190,138503,9197,43432,2869,2392,2567,5854
97,15~19,9275,1268,5118,319,1263,0,0,0,354
97,20~24,49222,9154,26909,1276,4204,234,25,23,1326
97,25~29,26961,25127,44223,1457,5197,826,15,472,1025
98,TOTAL,102412,336915,119109,9675,56957,1775,2534,2710,6502
98,15~19,8501,3763,4838,184,1165,148,0,44,221
98,20~24,52392,25148,22209,1285,5070,81,40,115,1683
98,25~29,33239,59896,38570,1570,8019,470,0,505,1406
99,TOTAL,104604,239798,141757,10668,64225,2255,2320,4377,6891
99,15~19,8267,1787,3971,366,780,76,0,70,65
99,20~24,54279,13286,22856,952,5791,26,0,62,1590
99,25~29,33409,36249,46081,1961,11144,676,107,492,1457
100,TOTAL,100146,147820,160251,10175,55834,3285,2211,4361,7063
100,15~19,9811,778,3857,0,1002,0,0,0,84
100,20~24,50737,8748,26485,1230,4490,84,0,87,1344
100,25~29,30275,20795,49652,1171,7826,390,0,318,1188
101,TOTAL,105352,136777,162079,10339,50071,2647,2416,4281,6645
101,15~19,6683,1222,4702,83,490,65,0,0,34
101,20~24,58290,7955,26984,672,4150,0,14,222,1503
101,25~29,31786,16570,48169,1407,6642,849,0,800,1541
102,TOTAL,111868,138802,160557,9746,43846,2416,1880,3139,5752
102,15~19,7097,974,3522,108,582,0,0,0,87
102,20~24,62278,8108,29059,752,4778,172,0,115,962
102,25~29,32914,19580,43454,1220,5648,543,104,95,1298
103,TOTAL,104948,127873,161323,8670,42259,2075,1425,2684,5444
103,15~19,5715,386,3340,142,705,0,0,0,426
103,20~24,59560,8284,28250,596,3886,47,0,0,542
103,25~29,30162,15059,43873,1669,4942,200,0,224,1106
104,TOTAL,100727,115662,160741,8997,43661,2279,1083,2106,4805
104,15~19,5893,1051,2625,135,801,17,0,0,261
104,20~24,58035,5222,29525,733,3540,29,0,106,980
104,25~29,28955,14569,41079,1117,5584,339,0,86,313
105,TOTAL,109033,120859,161814,9933,46629,2517,1031,2886,4891
105,15~19,6631,995,2437,22,673,0,0,0,438
105,20~24,65560,6160,24027,654,3163,70,0,514,903
105,25~29,28678,13691,44291,1798,4505,1021,0,159,495
106,TOTAL,104427,113628,163344,6936,45624,2373,1031,2155,3875
106,15~19,6654,457,2668,129,589,0,0,0,174
106,20~24,63510,6304,25482,461,4717,64,0,81,1150
106,25~29,26073,12826,46111,486,6303,461,0,346,396
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
